# log10_lower_bound	log10_upper_bound	count
4.483573779262189696e+00	4.703744291387352838e+00	3.037000000000000000e+03
4.703744291387352838e+00	4.923914803512515093e+00	2.344800000000000000e+04
4.923914803512515093e+00	5.144085315637678235e+00	3.691800000000000000e+04
5.144085315637678235e+00	5.364255827762840489e+00	3.640700000000000000e+04
5.364255827762840489e+00	5.584426339888003632e+00	3.740400000000000000e+04
5.584426339888003632e+00	5.804596852013165886e+00	3.294700000000000000e+04
5.804596852013165886e+00	6.024767364138329029e+00	2.574300000000000000e+04
6.024767364138329029e+00	6.244937876263492171e+00	2.151700000000000000e+04
6.244937876263492171e+00	6.465108388388654426e+00	1.720200000000000000e+04
6.465108388388654426e+00	6.685278900513816680e+00	1.263500000000000000e+04
6.685278900513816680e+00	6.905449412638979823e+00	9.127000000000000000e+03
6.905449412638979823e+00	7.125619924764142965e+00	5.880000000000000000e+03
7.125619924764142965e+00	7.345790436889306108e+00	3.524000000000000000e+03
7.345790436889306108e+00	7.565960949014468362e+00	1.745000000000000000e+03
7.565960949014468362e+00	7.786131461139630616e+00	1.074000000000000000e+03
7.786131461139630616e+00	8.006301973264793759e+00	4.880000000000000000e+02
8.006301973264793759e+00	8.226472485389956901e+00	4.610000000000000000e+02
8.226472485389956901e+00	8.446642997515120044e+00	3.150000000000000000e+02
8.446642997515120044e+00	8.666813509640281410e+00	8.500000000000000000e+01
8.666813509640281410e+00	8.886984021765444552e+00	4.300000000000000000e+01
