# log10_lower_bound	log10_upper_bound	count
-6.081188845190895975e+00	-5.830209029367038553e+00	1.800000000000000000e+01
-5.830209029367038553e+00	-5.579229213543180244e+00	7.000000000000000000e+01
-5.579229213543180244e+00	-5.328249397719322822e+00	1.400000000000000000e+02
-5.328249397719322822e+00	-5.077269581895464512e+00	7.800000000000000000e+01
-5.077269581895464512e+00	-4.826289766071607090e+00	3.300000000000000000e+01
-4.826289766071607090e+00	-4.575309950247749669e+00	2.140000000000000000e+02
-4.575309950247749669e+00	-4.324330134423892247e+00	2.610000000000000000e+02
-4.324330134423892247e+00	-4.073350318600033937e+00	4.220000000000000000e+02
-4.073350318600033937e+00	-3.822370502776176071e+00	2.250000000000000000e+02
-3.822370502776176071e+00	-3.571390686952318205e+00	1.950000000000000000e+02
-3.571390686952318205e+00	-3.320410871128460784e+00	3.820000000000000000e+02
-3.320410871128460784e+00	-3.069431055304602918e+00	5.830000000000000000e+03
-3.069431055304602918e+00	-2.818451239480745052e+00	6.785800000000000000e+04
-2.818451239480745052e+00	-2.567471423656887630e+00	3.642900000000000000e+04
-2.567471423656887630e+00	-2.316491607833029764e+00	4.509000000000000000e+03
-2.316491607833029764e+00	-2.065511792009171899e+00	4.200000000000000000e+02
-2.065511792009171899e+00	-1.814531976185314477e+00	1.010000000000000000e+02
-1.814531976185314477e+00	-1.563552160361456167e+00	1.050000000000000000e+02
-1.563552160361456167e+00	-1.312572344537598745e+00	2.792000000000000000e+03
-1.312572344537598745e+00	-1.061592528713740657e+00	1.227000000000000000e+03
