# log10_lower_bound	log10_upper_bound	count
2.715546015544660019e+00	3.014650932429756569e+00	4.400000000000000000e+01
3.014650932429756569e+00	3.313755849314852675e+00	7.970000000000000000e+02
3.313755849314852675e+00	3.612860766199949225e+00	1.976000000000000000e+03
3.612860766199949225e+00	3.911965683085045775e+00	2.225000000000000000e+03
3.911965683085045775e+00	4.211070599970142325e+00	4.266000000000000000e+03
4.211070599970142325e+00	4.510175516855238875e+00	4.939000000000000000e+03
4.510175516855238875e+00	4.809280433740335425e+00	8.781000000000000000e+03
4.809280433740335425e+00	5.108385350625431087e+00	1.231600000000000000e+04
5.108385350625431087e+00	5.407490267510528525e+00	1.285500000000000000e+04
5.407490267510528525e+00	5.706595184395624187e+00	1.429700000000000000e+04
5.706595184395624187e+00	6.005700101280720737e+00	1.493100000000000000e+04
6.005700101280720737e+00	6.304805018165817287e+00	1.368200000000000000e+04
6.304805018165817287e+00	6.603909935050913838e+00	1.128100000000000000e+04
6.603909935050913838e+00	6.903014851936010388e+00	7.327000000000000000e+03
6.903014851936010388e+00	7.202119768821106049e+00	6.022000000000000000e+03
7.202119768821106049e+00	7.501224685706203488e+00	3.639000000000000000e+03
7.501224685706203488e+00	7.800329602591299150e+00	1.406000000000000000e+03
7.800329602591299150e+00	8.099434519476396588e+00	3.320000000000000000e+02
8.099434519476396588e+00	8.398539436361492250e+00	1.510000000000000000e+02
8.398539436361492250e+00	8.697644353246589688e+00	4.200000000000000000e+01
