# param	lower_bound	upper_bound
X_tot__FREE	1.19521956012	34461.2609561
k_Xoff__FREE	2.44748113671e-08	1.54293296991e-05
k_Xon__FREE	57914.7216271	14284681.5405
kase__FREE	0.185910635674	470.347336891
kdegX__FREE	0.000228359486525	0.0505848413486
kdegran__FREE	8698.68898268	12382436.3706
km_Ship1__FREE	0.00071233732403	0.0356236128423
km_Syk__FREE	0.0199335338576	24.983802617
km_x__FREE	0.00127919535942	9.90665583395
koff__FREE	0.00170097116649	0.15424712932
kp_Ship1__FREE	2293.18994108	10212151.2128
kp_Syk__FREE	4486.093816	23301307.5146
kp_x__FREE	17334.4023636	45739702.4101
kpten__FREE	0.000255209328609	0.0197431684471
ksynth1__FREE	0.000606487910925	0.441317219703
pase__FREE	0.00603472700551	14.2012313838
