# log10_lower_bound	log10_upper_bound	count
-9.338856397267166543e+00	-9.011875809380180513e+00	8.000000000000000000e+00
-9.011875809380180513e+00	-8.684895221493194484e+00	5.100000000000000000e+01
-8.684895221493194484e+00	-8.357914633606208454e+00	1.330000000000000000e+02
-8.357914633606208454e+00	-8.030934045719222425e+00	4.800000000000000000e+02
-8.030934045719222425e+00	-7.703953457832237284e+00	1.074000000000000000e+03
-7.703953457832237284e+00	-7.376972869945251254e+00	1.889000000000000000e+03
-7.376972869945251254e+00	-7.049992282058266113e+00	3.304000000000000000e+03
-7.049992282058266113e+00	-6.723011694171280084e+00	5.280000000000000000e+03
-6.723011694171280084e+00	-6.396031106284294054e+00	6.830000000000000000e+03
-6.396031106284294054e+00	-6.069050518397308025e+00	8.247000000000000000e+03
-6.069050518397308025e+00	-5.742069930510321996e+00	8.981000000000000000e+03
-5.742069930510321996e+00	-5.415089342623335966e+00	8.633000000000000000e+03
-5.415089342623335966e+00	-5.088108754736349937e+00	5.433000000000000000e+03
-5.088108754736349937e+00	-4.761128166849364796e+00	2.215000000000000000e+03
-4.761128166849364796e+00	-4.434147578962378766e+00	8.730000000000000000e+02
-4.434147578962378766e+00	-4.107166991075392737e+00	3.310000000000000000e+02
-4.107166991075392737e+00	-3.780186403188406707e+00	1.660000000000000000e+02
-3.780186403188406707e+00	-3.453205815301420678e+00	6.100000000000000000e+01
-3.453205815301420678e+00	-3.126225227414435537e+00	7.000000000000000000e+00
-3.126225227414435537e+00	-2.799244639527449063e+00	4.000000000000000000e+00
