# log10_lower_bound	log10_upper_bound	count
4.471536646517122904e+00	4.702762147393416470e+00	9.600000000000000000e+02
4.702762147393416470e+00	4.933987648269710036e+00	6.149000000000000000e+03
4.933987648269710036e+00	5.165213149146003602e+00	8.886000000000000000e+03
5.165213149146003602e+00	5.396438650022297168e+00	7.934000000000000000e+03
5.396438650022297168e+00	5.627664150898590734e+00	6.772000000000000000e+03
5.627664150898590734e+00	5.858889651774884300e+00	5.805000000000000000e+03
5.858889651774884300e+00	6.090115152651177866e+00	5.135000000000000000e+03
6.090115152651177866e+00	6.321340653527471432e+00	3.982000000000000000e+03
6.321340653527471432e+00	6.552566154403764997e+00	3.213000000000000000e+03
6.552566154403764997e+00	6.783791655280058563e+00	2.135000000000000000e+03
6.783791655280058563e+00	7.015017156156352129e+00	1.446000000000000000e+03
7.015017156156352129e+00	7.246242657032645695e+00	7.390000000000000000e+02
7.246242657032645695e+00	7.477468157908939261e+00	4.210000000000000000e+02
7.477468157908939261e+00	7.708693658785232827e+00	2.030000000000000000e+02
7.708693658785232827e+00	7.939919159661526393e+00	9.300000000000000000e+01
7.939919159661526393e+00	8.171144660537819959e+00	7.200000000000000000e+01
8.171144660537819959e+00	8.402370161414113525e+00	2.800000000000000000e+01
8.402370161414113525e+00	8.633595662290407091e+00	1.400000000000000000e+01
8.633595662290407091e+00	8.864821163166700657e+00	7.000000000000000000e+00
8.864821163166700657e+00	9.096046664042994223e+00	6.000000000000000000e+00
