# log10_lower_bound	log10_upper_bound	count
-1.825255392105761487e+00	-1.511766126797342125e+00	8.000000000000000000e+00
-1.511766126797342125e+00	-1.198276861488922762e+00	6.000000000000000000e+01
-1.198276861488922762e+00	-8.847875961805031775e-01	2.260000000000000000e+02
-8.847875961805031775e-01	-5.712983308720838149e-01	5.570000000000000000e+02
-5.712983308720838149e-01	-2.578090655636644524e-01	1.161000000000000000e+03
-2.578090655636644524e-01	5.568019974475513223e-02	2.052000000000000000e+03
5.568019974475513223e-02	3.691694650531744948e-01	2.334000000000000000e+03
3.691694650531744948e-01	6.826587303615938573e-01	3.124000000000000000e+03
6.826587303615938573e-01	9.961479956700132199e-01	3.398000000000000000e+03
9.961479956700132199e-01	1.309637260978432582e+00	3.205000000000000000e+03
1.309637260978432582e+00	1.623126526286851945e+00	2.798000000000000000e+03
1.623126526286851945e+00	1.936615791595271752e+00	2.255000000000000000e+03
1.936615791595271752e+00	2.250105056903691114e+00	1.438000000000000000e+03
2.250105056903691114e+00	2.563594322212110477e+00	7.660000000000000000e+02
2.563594322212110477e+00	2.877083587520529839e+00	3.330000000000000000e+02
2.877083587520529839e+00	3.190572852828949202e+00	1.500000000000000000e+02
3.190572852828949202e+00	3.504062118137368564e+00	8.600000000000000000e+01
3.504062118137368564e+00	3.817551383445787927e+00	3.600000000000000000e+01
3.817551383445787927e+00	4.131040648754207290e+00	1.000000000000000000e+01
4.131040648754207290e+00	4.444529914062626652e+00	3.000000000000000000e+00
