# log10_lower_bound	log10_upper_bound	count
-2.638977890575874508e+00	-2.394885178141789250e+00	1.620000000000000000e+02
-2.394885178141789250e+00	-2.150792465707703993e+00	4.820000000000000000e+02
-2.150792465707703993e+00	-1.906699753273618736e+00	8.460000000000000000e+02
-1.906699753273618736e+00	-1.662607040839533479e+00	1.832000000000000000e+03
-1.662607040839533479e+00	-1.418514328405448222e+00	2.341000000000000000e+03
-1.418514328405448222e+00	-1.174421615971362964e+00	2.956000000000000000e+03
-1.174421615971362964e+00	-9.303289035372777072e-01	3.362000000000000000e+03
-9.303289035372777072e-01	-6.862361911031924500e-01	3.059000000000000000e+03
-6.862361911031924500e-01	-4.421434786691071928e-01	2.760000000000000000e+03
-4.421434786691071928e-01	-1.980507662350219356e-01	2.060000000000000000e+03
-1.980507662350219356e-01	4.604194619906332164e-02	1.496000000000000000e+03
4.604194619906332164e-02	2.901346586331485788e-01	1.034000000000000000e+03
2.901346586331485788e-01	5.342273710672338360e-01	7.110000000000000000e+02
5.342273710672338360e-01	7.783200835013190932e-01	4.120000000000000000e+02
7.783200835013190932e-01	1.022412795935404350e+00	2.010000000000000000e+02
1.022412795935404350e+00	1.266505508369489608e+00	1.500000000000000000e+02
1.266505508369489608e+00	1.510598220803574865e+00	1.000000000000000000e+02
1.510598220803574865e+00	1.754690933237660122e+00	2.500000000000000000e+01
1.754690933237660122e+00	1.998783645671745379e+00	8.000000000000000000e+00
1.998783645671745379e+00	2.242876358105830192e+00	3.000000000000000000e+00
