# log10_lower_bound	log10_upper_bound	count
-1.769186391130816549e+00	-1.485778534163899378e+00	1.180000000000000000e+02
-1.485778534163899378e+00	-1.202370677196982207e+00	3.330000000000000000e+02
-1.202370677196982207e+00	-9.189628202300648141e-01	1.017000000000000000e+03
-9.189628202300648141e-01	-6.355549632631476431e-01	2.706000000000000000e+03
-6.355549632631476431e-01	-3.521471062962304721e-01	5.645000000000000000e+03
-3.521471062962304721e-01	-6.873924932931307907e-02	8.076000000000000000e+03
-6.873924932931307907e-02	2.146686076376040919e-01	1.100200000000000000e+04
2.146686076376040919e-01	4.980764646045212629e-01	1.319400000000000000e+04
4.980764646045212629e-01	7.814843215714386560e-01	1.548600000000000000e+04
7.814843215714386560e-01	1.064892178538355605e+00	1.545300000000000000e+04
1.064892178538355605e+00	1.348300035505272998e+00	1.565600000000000000e+04
1.348300035505272998e+00	1.631707892472190391e+00	1.059500000000000000e+04
1.631707892472190391e+00	1.915115749439107340e+00	7.840000000000000000e+03
1.915115749439107340e+00	2.198523606406024733e+00	5.851000000000000000e+03
2.198523606406024733e+00	2.481931463372941682e+00	3.470000000000000000e+03
2.481931463372941682e+00	2.765339320339859075e+00	2.561000000000000000e+03
2.765339320339859075e+00	3.048747177306776468e+00	1.217000000000000000e+03
3.048747177306776468e+00	3.332155034273693861e+00	6.460000000000000000e+02
3.332155034273693861e+00	3.615562891240610366e+00	3.660000000000000000e+02
3.615562891240610366e+00	3.898970748207527759e+00	7.700000000000000000e+01
