# log10_lower_bound	log10_upper_bound	count
3.118898475934178904e+00	3.359443298398319566e+00	7.404000000000000000e+03
3.359443298398319566e+00	3.599988120862460228e+00	3.977300000000000000e+04
3.599988120862460228e+00	3.840532943326600446e+00	7.321900000000000000e+04
3.840532943326600446e+00	4.081077765790741552e+00	7.909500000000000000e+04
4.081077765790741552e+00	4.321622588254881769e+00	4.317100000000000000e+04
4.321622588254881769e+00	4.562167410719021987e+00	8.682000000000000000e+03
4.562167410719021987e+00	4.802712233183163093e+00	1.485000000000000000e+03
4.802712233183163093e+00	5.043257055647303311e+00	1.117000000000000000e+03
5.043257055647303311e+00	5.283801878111443528e+00	1.596000000000000000e+03
5.283801878111443528e+00	5.524346700575584634e+00	1.649000000000000000e+03
5.524346700575584634e+00	5.764891523039725740e+00	1.363000000000000000e+03
5.764891523039725740e+00	6.005436345503865958e+00	1.079000000000000000e+03
6.005436345503865958e+00	6.245981167968006176e+00	5.510000000000000000e+02
6.245981167968006176e+00	6.486525990432147282e+00	4.160000000000000000e+02
6.486525990432147282e+00	6.727070812896287499e+00	2.870000000000000000e+02
6.727070812896287499e+00	6.967615635360427717e+00	1.077000000000000000e+03
6.967615635360427717e+00	7.208160457824568823e+00	1.703000000000000000e+03
7.208160457824568823e+00	7.448705280288709041e+00	3.026000000000000000e+03
7.448705280288709041e+00	7.689250102752850147e+00	2.411000000000000000e+03
7.689250102752850147e+00	7.929794925216990364e+00	8.960000000000000000e+02
