# log10_lower_bound	log10_upper_bound	count
-5.072329833396587162e+00	-4.784430989422510550e+00	1.600000000000000000e+02
-4.784430989422510550e+00	-4.496532145448433049e+00	7.000000000000000000e+01
-4.496532145448433049e+00	-4.208633301474355548e+00	1.600000000000000000e+02
-4.208633301474355548e+00	-3.920734457500278936e+00	5.520000000000000000e+02
-3.920734457500278936e+00	-3.632835613526201879e+00	1.855000000000000000e+03
-3.632835613526201879e+00	-3.344936769552124822e+00	3.037000000000000000e+03
-3.344936769552124822e+00	-3.057037925578047766e+00	6.524000000000000000e+03
-3.057037925578047766e+00	-2.769139081603970709e+00	1.144400000000000000e+04
-2.769139081603970709e+00	-2.481240237629893652e+00	1.875800000000000000e+04
-2.481240237629893652e+00	-2.193341393655816596e+00	2.924800000000000000e+04
-2.193341393655816596e+00	-1.905442549681739539e+00	3.951500000000000000e+04
-1.905442549681739539e+00	-1.617543705707662482e+00	4.290300000000000000e+04
-1.617543705707662482e+00	-1.329644861733585426e+00	3.931100000000000000e+04
-1.329644861733585426e+00	-1.041746017759508369e+00	2.764700000000000000e+04
-1.041746017759508369e+00	-7.538471737854308685e-01	2.156200000000000000e+04
-7.538471737854308685e-01	-4.659483298113542560e-01	1.450100000000000000e+04
-4.659483298113542560e-01	-1.780494858372776434e-01	8.021000000000000000e+03
-1.780494858372776434e-01	1.098493581367998573e-01	3.234000000000000000e+03
1.098493581367998573e-01	3.977482021108773580e-01	1.251000000000000000e+03
3.977482021108773580e-01	6.856470460849543036e-01	2.470000000000000000e+02
