# log10_lower_bound	log10_upper_bound	count
-2.701254558504367242e+00	-2.455244841333887873e+00	5.560000000000000000e+02
-2.455244841333887873e+00	-2.209235124163408504e+00	2.607000000000000000e+03
-2.209235124163408504e+00	-1.963225406992929356e+00	4.876000000000000000e+03
-1.963225406992929356e+00	-1.717215689822450209e+00	7.862000000000000000e+03
-1.717215689822450209e+00	-1.471205972651970839e+00	1.098100000000000000e+04
-1.471205972651970839e+00	-1.225196255481491470e+00	1.493700000000000000e+04
-1.225196255481491470e+00	-9.791865383110123222e-01	1.468800000000000000e+04
-9.791865383110123222e-01	-7.331768211405329527e-01	1.429200000000000000e+04
-7.331768211405329527e-01	-4.871671039700538053e-01	1.396300000000000000e+04
-4.871671039700538053e-01	-2.411573867995744358e-01	1.202200000000000000e+04
-2.411573867995744358e-01	4.852330370904933687e-03	8.070000000000000000e+03
4.852330370904933687e-03	2.508620475413843032e-01	5.328000000000000000e+03
2.508620475413843032e-01	4.968717647118636727e-01	3.595000000000000000e+03
4.968717647118636727e-01	7.428814818823425981e-01	2.704000000000000000e+03
7.428814818823425981e-01	9.888911990528219675e-01	1.230000000000000000e+03
9.888911990528219675e-01	1.234900916223301337e+00	8.680000000000000000e+02
1.234900916223301337e+00	1.480910633393780262e+00	1.718000000000000000e+03
1.480910633393780262e+00	1.726920350564259632e+00	4.740000000000000000e+02
1.726920350564259632e+00	1.972930067734739001e+00	2.830000000000000000e+02
1.972930067734739001e+00	2.218939784905218371e+00	2.550000000000000000e+02
