# log10_lower_bound	log10_upper_bound	count
2.241776116289340148e+00	2.571688792353546305e+00	3.000000000000000000e+00
2.571688792353546305e+00	2.901601468417752461e+00	1.000000000000000000e+00
2.901601468417752461e+00	3.231514144481958617e+00	6.000000000000000000e+01
3.231514144481958617e+00	3.561426820546164773e+00	2.390000000000000000e+02
3.561426820546164773e+00	3.891339496610370929e+00	6.400000000000000000e+02
3.891339496610370929e+00	4.221252172674576641e+00	1.488000000000000000e+03
4.221252172674576641e+00	4.551164848738783242e+00	2.156000000000000000e+03
4.551164848738783242e+00	4.881077524802989842e+00	3.062000000000000000e+03
4.881077524802989842e+00	5.210990200867195554e+00	3.198000000000000000e+03
5.210990200867195554e+00	5.540902876931401266e+00	3.109000000000000000e+03
5.540902876931401266e+00	5.870815552995607867e+00	3.613000000000000000e+03
5.870815552995607867e+00	6.200728229059814467e+00	3.211000000000000000e+03
6.200728229059814467e+00	6.530640905124020179e+00	1.737000000000000000e+03
6.530640905124020179e+00	6.860553581188225891e+00	8.280000000000000000e+02
6.860553581188225891e+00	7.190466257252433380e+00	4.320000000000000000e+02
7.190466257252433380e+00	7.520378933316639092e+00	1.270000000000000000e+02
7.520378933316639092e+00	7.850291609380844804e+00	4.200000000000000000e+01
7.850291609380844804e+00	8.180204285445050516e+00	4.000000000000000000e+01
8.180204285445050516e+00	8.510116961509258005e+00	1.000000000000000000e+01
8.510116961509258005e+00	8.840029637573463717e+00	4.000000000000000000e+00
