# log10_lower_bound	log10_upper_bound	count
-2.530464164718398301e+00	-2.229600412307260804e+00	8.500000000000000000e+01
-2.229600412307260804e+00	-1.928736659896122863e+00	5.060000000000000000e+02
-1.928736659896122863e+00	-1.627872907484985365e+00	1.331000000000000000e+03
-1.627872907484985365e+00	-1.327009155073847646e+00	3.103000000000000000e+03
-1.327009155073847646e+00	-1.026145402662709927e+00	5.670000000000000000e+03
-1.026145402662709927e+00	-7.252816502515724295e-01	7.320000000000000000e+03
-7.252816502515724295e-01	-4.244178978404344882e-01	7.658000000000000000e+03
-4.244178978404344882e-01	-1.235541454292969910e-01	7.322000000000000000e+03
-1.235541454292969910e-01	1.773096069818405063e-01	6.884000000000000000e+03
1.773096069818405063e-01	4.781733593929784476e-01	5.731000000000000000e+03
4.781733593929784476e-01	7.790371118041159448e-01	3.868000000000000000e+03
7.790371118041159448e-01	1.079900864215253442e+00	2.168000000000000000e+03
1.079900864215253442e+00	1.380764616626391383e+00	1.362000000000000000e+03
1.380764616626391383e+00	1.681628369037529325e+00	5.590000000000000000e+02
1.681628369037529325e+00	1.982492121448666822e+00	2.850000000000000000e+02
1.982492121448666822e+00	2.283355873859804319e+00	9.600000000000000000e+01
2.283355873859804319e+00	2.584219626270941816e+00	2.900000000000000000e+01
2.584219626270941816e+00	2.885083378682079314e+00	1.700000000000000000e+01
2.885083378682079314e+00	3.185947131093217699e+00	5.000000000000000000e+00
3.185947131093217699e+00	3.486810883504355640e+00	1.000000000000000000e+00
