# log10_lower_bound	log10_upper_bound	count
-5.118217324842852634e+00	-4.768127337537338306e+00	4.000000000000000000e+00
-4.768127337537338306e+00	-4.418037350231823090e+00	1.400000000000000000e+01
-4.418037350231823090e+00	-4.067947362926307875e+00	1.900000000000000000e+01
-4.067947362926307875e+00	-3.717857375620793547e+00	2.050000000000000000e+02
-3.717857375620793547e+00	-3.367767388315278776e+00	6.950000000000000000e+02
-3.367767388315278776e+00	-3.017677401009764004e+00	1.892000000000000000e+03
-3.017677401009764004e+00	-2.667587413704249233e+00	4.034000000000000000e+03
-2.667587413704249233e+00	-2.317497426398734461e+00	6.341000000000000000e+03
-2.317497426398734461e+00	-1.967407439093219690e+00	8.048000000000000000e+03
-1.967407439093219690e+00	-1.617317451787704918e+00	9.440000000000000000e+03
-1.617317451787704918e+00	-1.267227464482190147e+00	8.327000000000000000e+03
-1.267227464482190147e+00	-9.171374771766753753e-01	6.584000000000000000e+03
-9.171374771766753753e-01	-5.670474898711610479e-01	4.215000000000000000e+03
-5.670474898711610479e-01	-2.169575025656458322e-01	2.362000000000000000e+03
-2.169575025656458322e-01	1.331324847398693834e-01	1.073000000000000000e+03
1.331324847398693834e-01	4.832224720453837108e-01	5.460000000000000000e+02
4.832224720453837108e-01	8.333124593508980382e-01	1.310000000000000000e+02
8.333124593508980382e-01	1.183402446656413254e+00	4.000000000000000000e+01
1.183402446656413254e+00	1.533492433961928469e+00	2.500000000000000000e+01
1.533492433961928469e+00	1.883582421267443019e+00	5.000000000000000000e+00
