Permutation Chi-Sq km10__FREE km11__FREE km12__FREE km13__FREE km14__FREE km15__FREE km16__FREE km17__FREE km18__FREE km19__FREE km1__FREE km20__FREE km21__FREE km22__FREE km23__FREE km24__FREE km2__FREE km3__FREE km9__FREE kp10__FREE kp11__FREE kp12__FREE kp13__FREE kp14__FREE kp15__FREE kp17__FREE kp18__FREE kp19__FREE kp1__FREE kp20__FREE kp21__FREE kp22__FREE kp23__FREE kp24__FREE kp2__FREE kp3__FREE kp9__FREE
gen1428perm132 0.4152728213781328 1.26216219e-01 4.04423845e-01 3.96673449e-03 6.93983068e-04 2.67262815e-03 3.25325815e+00 1.06774270e-03 1.93271733e-01 1.88455403e-02 1.00995019e-01 1.01964822e-01 7.88256298e-04 7.51217872e-02 1.83928785e-02 2.14012210e+00 5.49021575e-02 8.50930677e-02 8.21431172e-01 1.57749251e+01 1.08882133e-05 7.10258346e-07 2.71139658e-05 2.06375068e-04 2.26128855e+00 1.35936042e-08 1.47086304e-05 2.75697098e-07 1.16625742e-06 1.58971973e-05 2.95531536e-08 1.21236937e-08 2.89958474e-08 5.00237095e-07 1.02713740e-05 4.62498604e-06 1.11725843e-01 3.24247165e-07
gen1428perm63 0.4153205723794869 1.24196265e-01 3.92143794e-01 3.90402961e-03 7.79508510e-04 2.55174577e-03 3.25325815e+00 1.05218907e-03 1.93351868e-01 1.79789844e-02 1.00995019e-01 1.04365824e-01 7.49346361e-04 6.37678110e-02 1.92285179e-02 1.96053845e+00 5.59429788e-02 8.50930677e-02 8.21431172e-01 1.60762919e+01 9.69034072e-06 6.91232626e-07 3.36484303e-05 2.12799169e-04 2.06438754e+00 1.68278388e-08 1.45884287e-05 3.04529431e-07 1.09892360e-06 1.44691961e-05 2.55857841e-08 9.76710088e-09 2.98900176e-08 4.72597770e-07 1.02713740e-05 4.62498604e-06 1.11725843e-01 3.06866781e-07
gen1428perm17 0.4153476232077726 1.17258739e-01 4.16846004e-01 4.32658454e-03 6.75747406e-04 2.99400404e-03 3.25325815e+00 1.05218907e-03 1.90733594e-01 1.73377117e-02 1.00995019e-01 1.75173519e-01 8.60600318e-04 6.37678110e-02 1.50827584e-02 2.19589548e+00 5.60889327e-02 8.50930677e-02 8.21431172e-01 1.69674117e+01 9.69034072e-06 7.10258346e-07 3.26684916e-05 2.15876306e-04 2.31178847e+00 1.62685130e-08 1.47299909e-05 3.02382308e-07 1.09892360e-06 1.53471042e-05 3.02854214e-08 1.19308758e-08 2.87673364e-08 4.72328294e-07 1.03608920e-05 4.62914237e-06 1.11725843e-01 3.03632288e-07
gen1428perm108 0.4155583815338914 1.26216219e-01 4.21399075e-01 3.71807477e-03 7.23093060e-04 2.70669738e-03 3.25845625e+00 9.53423108e-04 1.92756685e-01 1.79679092e-02 1.00995019e-01 9.19956114e-02 8.36559367e-04 6.48557357e-02 1.97724354e-02 2.14012210e+00 5.60889327e-02 8.50930677e-02 8.21431172e-01 1.59533395e+01 1.19157608e-05 7.50950558e-07 3.26384307e-05 2.06375068e-04 2.15093375e+00 1.54226188e-08 1.47086304e-05 3.05809679e-07 9.99971461e-07 1.36943418e-05 2.83839752e-08 1.48687087e-08 2.53649540e-08 4.45913125e-07 1.02713740e-05 4.64709454e-06 1.11725843e-01 3.29841364e-07
gen1428perm50 0.4155696643511140 1.29385074e-01 3.90035495e-01 4.10508818e-03 7.23968870e-04 2.92504279e-03 3.25325815e+00 1.05218907e-03 1.91749128e-01 1.62023671e-02 1.00995019e-01 1.01525751e-01 7.74287979e-04 6.95206231e-02 1.96414407e-02 2.35310650e+00 5.60889327e-02 8.50930677e-02 8.21431172e-01 1.76376871e+01 1.19499746e-05 6.91232626e-07 3.67987738e-05 2.04916014e-04 2.25554477e+00 1.47706422e-08 1.47086304e-05 3.04476219e-07 1.40283703e-06 1.67720680e-05 3.00442959e-08 1.26132113e-08 2.96776603e-08 4.72328294e-07 1.02713740e-05 4.62498604e-06 1.11725843e-01 3.14414380e-07
gen1428perm39 0.4155703291644239 1.29385074e-01 4.04423845e-01 4.10508818e-03 7.24744204e-04 2.76344038e-03 3.25325815e+00 1.05218907e-03 1.97060796e-01 1.64210565e-02 1.00995019e-01 1.01525751e-01 7.73463301e-04 6.95206231e-02 1.79391522e-02 2.14012210e+00 5.60889327e-02 8.77007961e-02 8.21431172e-01 1.57981492e+01 9.69034072e-06 7.10258346e-07 3.08403178e-05 2.05128136e-04 2.19880998e+00 1.54956553e-08 1.47086304e-05 2.98403751e-07 1.09892360e-06 1.53250757e-05 2.74079608e-08 1.32473427e-08 2.41784356e-08 4.72328294e-07 1.02713740e-05 4.62498604e-06 1.11725843e-01 3.54761760e-07
gen1428perm72 0.4156569259196918 1.29385074e-01 3.90035495e-01 4.09890925e-03 7.24744204e-04 2.55174577e-03 3.25325815e+00 1.05218907e-03 1.93271733e-01 1.75812615e-02 1.00995019e-01 1.01975265e-01 7.13128973e-04 7.32241944e-02 1.86940794e-02 1.90378434e+00 5.50632527e-02 8.55370601e-02 8.21431172e-01 1.76376871e+01 1.19585854e-05 6.91232626e-07 3.10965803e-05 1.98078197e-04 2.19880998e+00 1.43548652e-08 1.47086304e-05 2.80112702e-07 1.06892273e-06 1.55157408e-05 2.92509213e-08 1.26555907e-08 2.96776603e-08 4.72328294e-07 1.02713740e-05 4.62498604e-06 1.11725843e-01 2.92120303e-07
gen1428perm124 0.4156858215441364 1.24312427e-01 3.90035495e-01 3.60951496e-03 6.76889471e-04 2.86189323e-03 3.25325815e+00 1.04146274e-03 1.90733594e-01 1.75464080e-02 1.00995019e-01 1.38985094e-01 7.88256298e-04 6.67994336e-02 1.91550204e-02 2.02878346e+00 5.60889327e-02 8.50930677e-02 8.21431172e-01 1.82308381e+01 1.15279224e-05 6.91232626e-07 3.39384782e-05 2.06319646e-04 2.18105121e+00 1.58671179e-08 1.47323682e-05 2.99930320e-07 1.00007738e-06 1.52173941e-05 2.53359202e-08 1.30070889e-08 3.19900601e-08 5.22637194e-07 1.01934787e-05 4.62498604e-06 1.11725843e-01 3.18357186e-07
gen1428perm4 0.4157575304510439 1.25212025e-01 4.04423845e-01 4.00360619e-03 6.93983068e-04 2.57576515e-03 3.25325815e+00 1.16640765e-03 1.90733594e-01 1.84158346e-02 1.00995019e-01 1.01525751e-01 7.72015191e-04 7.51217872e-02 1.86026684e-02 2.17155522e+00 5.60889327e-02 8.50930677e-02 8.21431172e-01 1.82308381e+01 1.10248411e-05 7.00411419e-07 2.59833387e-05 2.05220707e-04 2.19880998e+00 1.43548652e-08 1.47086304e-05 2.60919279e-07 8.70027530e-07 1.51980796e-05 2.88202936e-08 1.32293660e-08 2.96776603e-08 4.99669119e-07 1.02713740e-05 4.62498604e-06 1.11725843e-01 2.99189729e-07
gen1428perm6 0.4159604830792706 1.20842310e-01 3.90035495e-01 4.15870903e-03 7.19278409e-04 2.52054865e-03 3.25325815e+00 1.05463738e-03 1.90733594e-01 2.13462036e-02 1.00995019e-01 9.25863509e-02 8.42813808e-04 6.37678110e-02 1.93859708e-02 1.98250209e+00 5.60889327e-02 8.44900960e-02 8.20821423e-01 1.61658711e+01 9.42189805e-06 6.91232626e-07 3.10965803e-05 2.01701045e-04 2.19880998e+00 1.54956553e-08 1.47296535e-05 3.02382308e-07 9.25836521e-07 1.43477198e-05 3.15046876e-08 1.15854359e-08 2.96776603e-08 4.68379149e-07 1.02713740e-05 4.62498604e-06 1.11725843e-01 3.29841364e-07
