# log10_lower_bound	log10_upper_bound	count
-3.721419937050093552e+00	-3.564670575559814036e+00	1.955000000000000000e+04
-3.564670575559814036e+00	-3.407921214069534077e+00	6.625300000000000000e+04
-3.407921214069534077e+00	-3.251171852579254562e+00	2.422800000000000000e+04
-3.251171852579254562e+00	-3.094422491088974603e+00	3.131000000000000000e+03
-3.094422491088974603e+00	-2.937673129598695088e+00	1.000000000000000000e+00
-2.937673129598695088e+00	-2.780923768108415572e+00	0.000000000000000000e+00
-2.780923768108415572e+00	-2.624174406618135613e+00	0.000000000000000000e+00
-2.624174406618135613e+00	-2.467425045127856098e+00	0.000000000000000000e+00
-2.467425045127856098e+00	-2.310675683637576583e+00	0.000000000000000000e+00
-2.310675683637576583e+00	-2.153926322147296624e+00	0.000000000000000000e+00
-2.153926322147296624e+00	-1.997176960657017109e+00	0.000000000000000000e+00
-1.997176960657017109e+00	-1.840427599166737371e+00	1.100000000000000000e+01
-1.840427599166737371e+00	-1.683678237676457634e+00	1.133000000000000000e+03
-1.683678237676457634e+00	-1.526928876186178119e+00	1.612000000000000000e+03
-1.526928876186178119e+00	-1.370179514695898160e+00	7.460000000000000000e+02
-1.370179514695898160e+00	-1.213430153205618645e+00	3.983000000000000000e+03
-1.213430153205618645e+00	-1.056680791715339129e+00	5.150000000000000000e+02
-1.056680791715339129e+00	-8.999314302250591702e-01	8.800000000000000000e+01
-8.999314302250591702e-01	-7.431820687347796550e-01	4.900000000000000000e+01
-7.431820687347796550e-01	-5.864327072444999178e-01	9.000000000000000000e+00
