# log10_lower_bound	log10_upper_bound	count
2.587359962903283073e+00	2.854663646283856604e+00	1.090000000000000000e+02
2.854663646283856604e+00	3.121967329664430579e+00	4.320000000000000000e+02
3.121967329664430579e+00	3.389271013045004111e+00	9.190000000000000000e+02
3.389271013045004111e+00	3.656574696425577642e+00	1.556000000000000000e+03
3.656574696425577642e+00	3.923878379806151617e+00	3.612000000000000000e+03
3.923878379806151617e+00	4.191182063186724704e+00	7.831000000000000000e+03
4.191182063186724704e+00	4.458485746567299124e+00	1.592400000000000000e+04
4.458485746567299124e+00	4.725789429947872655e+00	2.430400000000000000e+04
4.725789429947872655e+00	4.993093113328446186e+00	3.036400000000000000e+04
4.993093113328446186e+00	5.260396796709020606e+00	3.278200000000000000e+04
5.260396796709020606e+00	5.527700480089594137e+00	3.490000000000000000e+04
5.527700480089594137e+00	5.795004163470167668e+00	3.222300000000000000e+04
5.795004163470167668e+00	6.062307846850741200e+00	2.686900000000000000e+04
6.062307846850741200e+00	6.329611530231314731e+00	2.283100000000000000e+04
6.329611530231314731e+00	6.596915213611888262e+00	1.590500000000000000e+04
6.596915213611888262e+00	6.864218896992461794e+00	9.120000000000000000e+03
6.864218896992461794e+00	7.131522580373035325e+00	5.575000000000000000e+03
7.131522580373035325e+00	7.398826263753608856e+00	2.704000000000000000e+03
7.398826263753608856e+00	7.666129947134184164e+00	1.671000000000000000e+03
7.666129947134184164e+00	7.933433630514756807e+00	3.690000000000000000e+02
