# log10_lower_bound	log10_upper_bound	count
-6.081188845190895975e+00	-5.826767144730147230e+00	2.000000000000000000e+01
-5.826767144730147230e+00	-5.572345444269399373e+00	7.300000000000000000e+01
-5.572345444269399373e+00	-5.317923743808650627e+00	1.400000000000000000e+02
-5.317923743808650627e+00	-5.063502043347901882e+00	7.500000000000000000e+01
-5.063502043347901882e+00	-4.809080342887153137e+00	3.800000000000000000e+01
-4.809080342887153137e+00	-4.554658642426405279e+00	2.550000000000000000e+02
-4.554658642426405279e+00	-4.300236941965656534e+00	5.010000000000000000e+02
-4.300236941965656534e+00	-4.045815241504907789e+00	8.590000000000000000e+02
-4.045815241504907789e+00	-3.791393541044159932e+00	9.560000000000000000e+02
-3.791393541044159932e+00	-3.536971840583411186e+00	7.550000000000000000e+02
-3.536971840583411186e+00	-3.282550140122662885e+00	1.138000000000000000e+03
-3.282550140122662885e+00	-3.028128439661914584e+00	2.802500000000000000e+04
-3.028128439661914584e+00	-2.773706739201165838e+00	1.640610000000000000e+05
-2.773706739201165838e+00	-2.519285038740417537e+00	5.871000000000000000e+04
-2.519285038740417537e+00	-2.264863338279668792e+00	4.796000000000000000e+03
-2.264863338279668792e+00	-2.010441637818920491e+00	4.540000000000000000e+02
-2.010441637818920491e+00	-1.756019937358171745e+00	1.150000000000000000e+02
-1.756019937358171745e+00	-1.501598236897423888e+00	1.623000000000000000e+03
-1.501598236897423888e+00	-1.247176536436675143e+00	6.506000000000000000e+03
-1.247176536436675143e+00	-9.927548359759262864e-01	9.000000000000000000e+02
