# log10_lower_bound	log10_upper_bound	count
-3.512244155320223271e+00	-3.176591743445517757e+00	6.600000000000000000e+01
-3.176591743445517757e+00	-2.840939331570812687e+00	4.010000000000000000e+02
-2.840939331570812687e+00	-2.505286919696107173e+00	2.520000000000000000e+02
-2.505286919696107173e+00	-2.169634507821402103e+00	1.152000000000000000e+03
-2.169634507821402103e+00	-1.833982095946696589e+00	4.477000000000000000e+03
-1.833982095946696589e+00	-1.498329684071991075e+00	2.062300000000000000e+04
-1.498329684071991075e+00	-1.162677272197286005e+00	2.129200000000000000e+04
-1.162677272197286005e+00	-8.270248603225804906e-01	3.156400000000000000e+04
-8.270248603225804906e-01	-4.913724484478749766e-01	3.863000000000000000e+04
-4.913724484478749766e-01	-1.557200365731699065e-01	4.275900000000000000e+04
-1.557200365731699065e-01	1.799323753015356075e-01	3.897700000000000000e+04
1.799323753015356075e-01	5.155847871762411216e-01	2.950500000000000000e+04
5.155847871762411216e-01	8.512371990509466357e-01	2.121300000000000000e+04
8.512371990509466357e-01	1.186889610925651262e+00	1.060900000000000000e+04
1.186889610925651262e+00	1.522542022800356776e+00	4.892000000000000000e+03
1.522542022800356776e+00	1.858194434675062290e+00	2.332000000000000000e+03
1.858194434675062290e+00	2.193846846549767804e+00	9.560000000000000000e+02
2.193846846549767804e+00	2.529499258424473318e+00	1.290000000000000000e+02
2.529499258424473318e+00	2.865151670299177944e+00	5.500000000000000000e+01
2.865151670299177944e+00	3.200804082173883014e+00	1.160000000000000000e+02
