# log10_lower_bound	log10_upper_bound	count
-5.050292536554490397e+00	-4.697577025103476522e+00	1.430000000000000000e+02
-4.697577025103476522e+00	-4.344861513652462648e+00	3.230000000000000000e+02
-4.344861513652462648e+00	-3.992146002201449662e+00	5.350000000000000000e+02
-3.992146002201449662e+00	-3.639430490750435787e+00	4.260000000000000000e+02
-3.639430490750435787e+00	-3.286714979299421913e+00	3.850000000000000000e+02
-3.286714979299421913e+00	-2.933999467848408482e+00	1.061000000000000000e+03
-2.933999467848408482e+00	-2.581283956397395052e+00	1.773000000000000000e+03
-2.581283956397395052e+00	-2.228568444946381177e+00	4.707000000000000000e+03
-2.228568444946381177e+00	-1.875852933495367303e+00	9.617000000000000000e+03
-1.875852933495367303e+00	-1.523137422044353873e+00	1.522300000000000000e+04
-1.523137422044353873e+00	-1.170421910593340442e+00	1.804000000000000000e+04
-1.170421910593340442e+00	-8.177063991423265676e-01	1.960800000000000000e+04
-8.177063991423265676e-01	-4.649908876913126932e-01	1.660600000000000000e+04
-4.649908876913126932e-01	-1.122753762402997069e-01	1.299600000000000000e+04
-1.122753762402997069e-01	2.404401352107141676e-01	9.241000000000000000e+03
2.404401352107141676e-01	5.931556466617280421e-01	4.507000000000000000e+03
5.931556466617280421e-01	9.458711581127419166e-01	2.805000000000000000e+03
9.458711581127419166e-01	1.298586669563755791e+00	2.046000000000000000e+03
1.298586669563755791e+00	1.651302181014768777e+00	9.160000000000000000e+02
1.651302181014768777e+00	2.004017692465782652e+00	3.510000000000000000e+02
