# log10_lower_bound	log10_upper_bound	count
2.909210978066672393e+00	3.243456401344076312e+00	7.400000000000000000e+01
3.243456401344076312e+00	3.577701824621480231e+00	5.230000000000000000e+02
3.577701824621480231e+00	3.911947247898884150e+00	1.393000000000000000e+03
3.911947247898884150e+00	4.246192671176288513e+00	5.038000000000000000e+03
4.246192671176288513e+00	4.580438094453691988e+00	1.046900000000000000e+04
4.580438094453691988e+00	4.914683517731095463e+00	1.744400000000000000e+04
4.914683517731095463e+00	5.248928941008499827e+00	2.565400000000000000e+04
5.248928941008499827e+00	5.583174364285904190e+00	3.115600000000000000e+04
5.583174364285904190e+00	5.917419787563307665e+00	3.590900000000000000e+04
5.917419787563307665e+00	6.251665210840711140e+00	3.823700000000000000e+04
6.251665210840711140e+00	6.585910634118115503e+00	3.557100000000000000e+04
6.585910634118115503e+00	6.920156057395519866e+00	2.750400000000000000e+04
6.920156057395519866e+00	7.254401480672923341e+00	1.800200000000000000e+04
7.254401480672923341e+00	7.588646903950326816e+00	1.236500000000000000e+04
7.588646903950326816e+00	7.922892327227732068e+00	6.552000000000000000e+03
7.922892327227732068e+00	8.257137750505135543e+00	2.608000000000000000e+03
8.257137750505135543e+00	8.591383173782539018e+00	7.830000000000000000e+02
8.591383173782539018e+00	8.925628597059942493e+00	4.040000000000000000e+02
8.925628597059942493e+00	9.259874020337347744e+00	1.530000000000000000e+02
9.259874020337347744e+00	9.594119443614751219e+00	1.610000000000000000e+02
