# log10_lower_bound	log10_upper_bound	count
-4.107292532380705241e-01	-1.993144882476596824e-01	2.000000000000000000e+01
-1.993144882476596824e-01	1.210027674275115928e-02	2.770000000000000000e+02
1.210027674275115928e-02	2.235150417331620565e-01	1.305000000000000000e+03
2.235150417331620565e-01	4.349298067235728427e-01	2.575000000000000000e+03
4.349298067235728427e-01	6.463445717139836288e-01	2.660000000000000000e+03
6.463445717139836288e-01	8.577593367043946371e-01	2.659000000000000000e+03
8.577593367043946371e-01	1.069174101694805312e+00	2.787000000000000000e+03
1.069174101694805312e+00	1.280588866685216320e+00	2.721000000000000000e+03
1.280588866685216320e+00	1.492003631675626885e+00	2.400000000000000000e+03
1.492003631675626885e+00	1.703418396666037893e+00	2.072000000000000000e+03
1.703418396666037893e+00	1.914833161656448901e+00	1.619000000000000000e+03
1.914833161656448901e+00	2.126247926646859909e+00	1.120000000000000000e+03
2.126247926646859909e+00	2.337662691637270473e+00	6.920000000000000000e+02
2.337662691637270473e+00	2.549077456627681482e+00	4.790000000000000000e+02
2.549077456627681482e+00	2.760492221618092046e+00	2.840000000000000000e+02
2.760492221618092046e+00	2.971906986608503054e+00	1.290000000000000000e+02
2.971906986608503054e+00	3.183321751598914062e+00	1.000000000000000000e+02
3.183321751598914062e+00	3.394736516589324626e+00	6.500000000000000000e+01
3.394736516589324626e+00	3.606151281579735191e+00	2.900000000000000000e+01
3.606151281579735191e+00	3.817566046570146199e+00	7.000000000000000000e+00
