# log10_lower_bound	log10_upper_bound	count
4.484771571705216786e+00	4.715335326322105836e+00	4.820000000000000000e+02
4.715335326322105836e+00	4.945899080938994885e+00	2.911000000000000000e+03
4.945899080938994885e+00	5.176462835555883046e+00	3.861000000000000000e+03
5.176462835555883046e+00	5.407026590172772096e+00	3.343000000000000000e+03
5.407026590172772096e+00	5.637590344789661145e+00	2.696000000000000000e+03
5.637590344789661145e+00	5.868154099406550195e+00	2.605000000000000000e+03
5.868154099406550195e+00	6.098717854023439244e+00	2.446000000000000000e+03
6.098717854023439244e+00	6.329281608640327406e+00	1.760000000000000000e+03
6.329281608640327406e+00	6.559845363257217343e+00	1.489000000000000000e+03
6.559845363257217343e+00	6.790409117874105505e+00	9.270000000000000000e+02
6.790409117874105505e+00	7.020972872490994554e+00	6.950000000000000000e+02
7.020972872490994554e+00	7.251536627107883604e+00	3.910000000000000000e+02
7.251536627107883604e+00	7.482100381724771765e+00	1.930000000000000000e+02
7.482100381724771765e+00	7.712664136341661703e+00	8.700000000000000000e+01
7.712664136341661703e+00	7.943227890958549864e+00	3.700000000000000000e+01
7.943227890958549864e+00	8.173791645575438025e+00	4.000000000000000000e+01
8.173791645575438025e+00	8.404355400192327963e+00	1.900000000000000000e+01
8.404355400192327963e+00	8.634919154809217900e+00	9.000000000000000000e+00
8.634919154809217900e+00	8.865482909426106062e+00	4.000000000000000000e+00
8.865482909426106062e+00	9.096046664042994223e+00	5.000000000000000000e+00
