# log10_lower_bound	log10_upper_bound	count
-1.844632119803516268e+00	-1.510674976776060330e+00	3.400000000000000000e+01
-1.510674976776060330e+00	-1.176717833748604169e+00	2.170000000000000000e+02
-1.176717833748604169e+00	-8.427606907211480092e-01	7.190000000000000000e+02
-8.427606907211480092e-01	-5.088035476936920709e-01	1.437000000000000000e+03
-5.088035476936920709e-01	-1.748464046662361326e-01	3.026000000000000000e+03
-1.748464046662361326e-01	1.591107383612202497e-01	4.851000000000000000e+03
1.591107383612202497e-01	4.930678813886761880e-01	6.317000000000000000e+03
4.930678813886761880e-01	8.270250244161321262e-01	7.946000000000000000e+03
8.270250244161321262e-01	1.160982167443588065e+00	8.429000000000000000e+03
1.160982167443588065e+00	1.494939310471044003e+00	7.052000000000000000e+03
1.494939310471044003e+00	1.828896453498500385e+00	5.698000000000000000e+03
1.828896453498500385e+00	2.162853596525956767e+00	3.924000000000000000e+03
2.162853596525956767e+00	2.496810739553412262e+00	2.227000000000000000e+03
2.496810739553412262e+00	2.830767882580868644e+00	1.211000000000000000e+03
2.830767882580868644e+00	3.164725025608324138e+00	4.540000000000000000e+02
3.164725025608324138e+00	3.498682168635780521e+00	3.050000000000000000e+02
3.498682168635780521e+00	3.832639311663236903e+00	1.090000000000000000e+02
3.832639311663236903e+00	4.166596454690692397e+00	3.100000000000000000e+01
4.166596454690692397e+00	4.500553597718148779e+00	1.000000000000000000e+01
4.500553597718148779e+00	4.834510740745604274e+00	3.000000000000000000e+00
