# log10_lower_bound	log10_upper_bound	count
-3.728891088336415915e+00	-3.690672513651657383e+00	2.500000000000000000e+01
-3.690672513651657383e+00	-3.652453938966898850e+00	4.050000000000000000e+02
-3.652453938966898850e+00	-3.614235364282140317e+00	1.034000000000000000e+03
-3.614235364282140317e+00	-3.576016789597381784e+00	1.737000000000000000e+03
-3.576016789597381784e+00	-3.537798214912623251e+00	2.609000000000000000e+03
-3.537798214912623251e+00	-3.499579640227864719e+00	3.752000000000000000e+03
-3.499579640227864719e+00	-3.461361065543106186e+00	3.977000000000000000e+03
-3.461361065543106186e+00	-3.423142490858347653e+00	3.358000000000000000e+03
-3.423142490858347653e+00	-3.384923916173589120e+00	2.521000000000000000e+03
-3.384923916173589120e+00	-3.346705341488830143e+00	1.719000000000000000e+03
-3.346705341488830143e+00	-3.308486766804072055e+00	1.107000000000000000e+03
-3.308486766804072055e+00	-3.270268192119313078e+00	7.080000000000000000e+02
-3.270268192119313078e+00	-3.232049617434554545e+00	3.830000000000000000e+02
-3.232049617434554545e+00	-3.193831042749796012e+00	2.540000000000000000e+02
-3.193831042749796012e+00	-3.155612468065037479e+00	1.640000000000000000e+02
-3.155612468065037479e+00	-3.117393893380278946e+00	1.280000000000000000e+02
-3.117393893380278946e+00	-3.079175318695520414e+00	5.500000000000000000e+01
-3.079175318695520414e+00	-3.040956744010761881e+00	3.600000000000000000e+01
-3.040956744010761881e+00	-3.002738169326003348e+00	2.300000000000000000e+01
-3.002738169326003348e+00	-2.964519594641244815e+00	5.000000000000000000e+00
